path,temperature,humidity,rainfall
lab/train/Early_blight/84fe717f-2161-43c2-ad2f-ee2678a31e9f___RS_Erly.B 9416.JPG,25.39,79.78,7.41
lab/train/Early_blight/862c7fa2-1ab0-4bce-9f9b-76cbb4a096e1___RS_Erly.B 7521.JPG,29.29,66.6,4.99
lab/train/Early_blight/8a089fe7-9e6a-4db7-b0e8-9792e4abc326___RS_Erly.B 7466.JPG,25.96,63.92,2.34
lab/train/Early_blight/8ac21e2c-f953-4e96-8d43-e82dae24017e___RS_Erly.B 7459.JPG,28.53,69.56,6.31
lab/train/Early_blight/8e4238dc-b4fd-46d0-8892-965e64dad7ab___RS_Erly.B 9404.JPG,29.2,70.43,5.62
lab/train/Early_blight/906f1ca6-2923-40c2-a924-5486fc3d7ba0___RS_Erly.B 9444.JPG,26.46,61.63,3.79
lab/train/Early_blight/90c69e4c-c526-4f72-b0b0-4127fc6acb0a___RS_Erly.B 7782.JPG,25.65,75.1,4.96
lab/train/Early_blight/90fd6e55-0c2c-4c8e-8742-5a87bc669633___RS_Erly.B 7356.JPG,25.86,61.68,6.62
lab/train/Early_blight/957be08a-9b4f-4c28-9908-622fdb996f1c___RS_Erly.B 7591.JPG,24.83,60.73,6.74
lab/train/Early_blight/95f5cf16-3e2d-4b96-9f3d-732cf1c60d6e___RS_Erly.B 7564.JPG,26.97,64.72,6.03
lab/train/Early_blight/9a2960cc-21cf-470c-990e-e315699c2029___RS_Erly.B 9467.JPG,24.8,70.22,3.22
lab/train/Early_blight/9b16a9a4-c99b-4027-a301-4a8969761746___RS_Erly.B 7428.JPG,28.23,62.94,3.01
lab/train/Early_blight/9b617d8b-b252-4a29-9af5-10ea563eb785___RS_Erly.B 7707.JPG,25.81,72.68,3.28
lab/train/Early_blight/9cd2e960-3941-4b60-84fb-0ed227c26ed7___RS_Erly.B 7839.JPG,27.77,77.22,6.82
lab/train/Early_blight/9d8aacaf-ef28-4f23-a18d-4035f59d92b1___RS_Erly.B 7565.JPG,29.98,63.63,2.23
lab/train/Early_blight/a0cb35c3-0ae6-4b64-a42f-d14006f3d315___RS_Erly.B 7357.JPG,26.44,71.77,6.42
lab/train/Early_blight/a0db48a5-bbb6-4374-ad9f-8132e33280f5___RS_Erly.B 7791.JPG,25.98,65.87,6.43
lab/train/Early_blight/a278a40a-bb25-4210-b646-2d232245851a___RS_Erly.B 7719.JPG,28.98,71.68,6.76
lab/train/Early_blight/a442ef7e-3c93-45d9-85c0-5fa66fe32bb8___RS_Erly.B 7504.JPG,25.75,74.41,3.52
lab/train/Early_blight/a47435d5-cd96-4f92-96b9-edd35046c88f___RS_Erly.B 6390.JPG,27.74,69.18,5.92
lab/train/Early_blight/a5b33d5a-99bc-43b9-b408-aaf9535189e0___RS_Erly.B 8372.JPG,25.77,60.73,5.89
lab/train/Early_blight/a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly.B 7597.JPG,26.87,67.04,6.6
lab/train/Early_blight/a7a4d12c-61bf-401d-ab88-0572c4dec56d___RS_Erly.B 9464.JPG,24.59,77.31,5.39
lab/train/Early_blight/a86f36c6-2089-4367-ba3e-5b7c8b3c0084___RS_Erly.B 7492.JPG,26.95,67.77,5.95
lab/train/Early_blight/a8844870-0efc-494c-af8c-d5c94fd619f3___RS_Erly.B 7756.JPG,26.2,61.26,7.48
lab/train/Early_blight/a8cade96-090a-4dcd-bc79-d13a4046370d___RS_Erly.B 7721.JPG,25.89,77.28,7.46
lab/train/Early_blight/a98a655f-a2f5-44eb-a73b-edf25ca85921___RS_Erly.B 6351.JPG,27.76,74.32,4.34
lab/train/Early_blight/ac6a9426-691d-46f4-941a-6637659bbbf7___RS_Erly.B 9394.JPG,25.38,60.29,6.21
lab/train/Early_blight/b0f9d534-0c29-4185-bdd1-43b83dc586f8___RS_Erly.B 6453.JPG,25.54,61.71,4.74
lab/train/Early_blight/b383b96d-13d9-454a-a179-3093e48d8708___RS_Erly.B 7500.JPG,29.27,73.4,2.61
lab/train/Early_blight/b4cfa208-cee0-4383-b0e2-6988814fbb9a___RS_Erly.B 7645.JPG,29.01,62.44,4.57
lab/train/Early_blight/b8421c32-9111-49c0-8e78-f86a9912ece4___RS_Erly.B 7706.JPG,28.17,78.18,5.21
lab/train/Early_blight/b868515e-a566-4b0b-9633-30203270943f___RS_Erly.B 9401.JPG,24.64,73.75,3.54
lab/train/Early_blight/bc351ae2-a270-4e17-aff9-b1f559f665f3___RS_Erly.B 7634.JPG,27.11,77.04,7.75
lab/train/Early_blight/c0caae76-1327-4d16-95dd-138603f7573b___RS_Erly.B 8362.JPG,24.58,64.18,2.34
lab/train/Early_blight/c21e480d-8263-4b9c-b429-4beceb2cb7d0___RS_Erly.B 8292.JPG,27.29,64.52,4.4
lab/train/Early_blight/c3e85d27-e5e0-4897-a039-22640e696184___RS_Erly.B 9459.JPG,28.81,79.18,4.17
lab/train/Early_blight/c66ca8bd-a004-4efb-a66c-3be5168aaaca___RS_Erly.B 7826.JPG,24.83,70.76,5.0
lab/train/Early_blight/c684414e-2c2b-4d12-bca0-2a5fb271e1da___RS_Erly.B 8425.JPG,29.5,79.31,4.37
lab/train/Early_blight/c78483c5-424f-4a5f-aab3-5b909b62a7e6___RS_Erly.B 7541.JPG,24.03,62.06,6.15
lab/train/Early_blight/c78c9d19-e83d-4c3b-a690-e6e3b95c979d___RS_Erly.B 9569.JPG,28.86,68.95,6.4
lab/train/Early_blight/c8dd6713-727e-4811-b951-e70e44d0c483___RS_Erly.B 7817.JPG,24.93,70.75,7.05
lab/train/Early_blight/c9fa82b3-776c-4a44-8309-a6faf88898e3___RS_Erly.B 7498.JPG,25.69,77.68,3.1
lab/train/Early_blight/ca408b6b-bc8b-45a0-a04e-f0341169524c___RS_Erly.B 7640.JPG,27.74,79.65,5.0
lab/train/Early_blight/cbbd6255-f338-45b2-816d-47903ab67be7___RS_Erly.B 7537.JPG,29.84,72.92,2.51
lab/train/Early_blight/cbff5638-51d0-4eae-90a2-9ce6e00acf9b___RS_Erly.B 9456.JPG,29.35,69.26,3.28
lab/train/Early_blight/cd76ee4d-d516-4189-b40b-12959dc02f91___RS_Erly.B 7798.JPG,29.25,72.82,5.34
lab/train/Early_blight/d41e78aa-0020-457b-a17d-736d426adad5___RS_Erly.B 7755.JPG,25.35,67.93,2.4
lab/train/Early_blight/d452210c-ee07-4a6e-a0e0-15676dafacb1___RS_Erly.B 7419.JPG,26.02,64.25,7.41
lab/train/Early_blight/d5bddab9-06bd-488f-a844-97bd75c6b061___RS_Erly.B 6662.JPG,28.92,67.9,2.87
lab/train/Early_blight/d7f1e802-0b8e-4cba-88b4-e61328322cac___RS_Erly.B 8222.JPG,28.41,63.52,6.16
lab/train/Early_blight/d8754b7f-53a4-4e69-8f54-1ec9f7581799___RS_Erly.B 6436.JPG,27.64,71.86,6.48
lab/train/Early_blight/da84925b-554a-465d-bdb2-91851f77d5ce___RS_Erly.B 9420.JPG,25.4,72.17,2.47
lab/train/Early_blight/dbbc206a-90ab-4b29-abe0-5613028278be___RS_Erly.B 8409.JPG,28.28,62.25,2.22
lab/train/Early_blight/dc5fc62b-20c7-441b-bd70-aa24790302eb___RS_Erly.B 9510.JPG,28.7,79.19,6.31
lab/train/Early_blight/de57a88b-7170-4eca-93f6-330df50fa8b5___RS_Erly.B 9541.JPG,29.86,60.4,5.0
lab/train/Early_blight/de8d6c32-2b7c-4c2c-a974-9c1c9c30486e___RS_Erly.B 9560.JPG,29.71,66.2,2.58
lab/train/Early_blight/df721edd-686e-4bb8-a05b-e8c67743c8ca___RS_Erly.B 8265.JPG,27.55,76.82,6.13
lab/train/Early_blight/e221d1fa-e003-44eb-a0b0-57e8fcd73fd3___RS_Erly.B 7571.JPG,25.56,66.16,3.88
lab/train/Early_blight/e2ce6add-93e2-4c1f-9ee3-2354d1542e8b___RS_Erly.B 7698.JPG,27.52,73.86,2.58
lab/train/Early_blight/e701c578-1fa3-4ed3-9874-5f90c6d2eb3c___RS_Erly.B 9583.JPG,29.09,75.12,2.5
lab/train/Early_blight/e803b217-d9a9-4b0d-9ea1-679145625159___RS_Erly.B 9571.JPG,24.52,61.04,5.95
lab/train/Early_blight/eb94014e-83b7-46a4-9b1a-7cae23876302___RS_Erly.B 7471.JPG,28.96,66.48,6.45
lab/train/Early_blight/ec5d1d0a-2909-4c2d-81d5-4bbed298167b___RS_Erly.B 6340.JPG,29.17,61.86,5.08
lab/train/Early_blight/ee7a6de8-1aca-4a55-8c12-69be6277c1c1___RS_Erly.B 9591.JPG,26.82,77.51,2.91
lab/train/Early_blight/ef1bea6d-41dd-4f88-9a5e-854abf1a5101___RS_Erly.B 9539.JPG,25.75,72.52,4.64
lab/train/Early_blight/f035e3c9-069a-4392-9f0c-80262511f616___RS_Erly.B 9373.JPG,25.33,63.95,5.97
lab/train/Early_blight/f33995ae-6456-476c-b832-4ff4cbaf49f7___RS_Erly.B 7525.JPG,24.52,74.56,4.97
lab/train/Early_blight/f547a0f4-912a-45ec-81aa-371ad12ecacf___RS_Erly.B 7608.JPG,26.62,73.92,6.48
lab/train/Early_blight/f59545f4-cded-405a-bf6f-f4b77e51e2ff___RS_Erly.B 7737.JPG,25.11,62.79,3.8
lab/train/Early_blight/f62e84ae-2bd4-4b15-918a-639c0470c25d___RS_Erly.B 7761.JPG,28.02,75.91,4.08
lab/train/Early_blight/f9095543-43a8-4dac-8d06-041203fa5af5___RS_Erly.B 6435.JPG,26.3,78.67,3.43
lab/train/Early_blight/fb3352cc-9189-4214-8b94-a60c6a392c96___RS_Erly.B 9600.JPG,29.95,69.4,7.45
lab/train/Early_blight/fbe86131-6873-460e-880a-6ee8576b6bc9___RS_Erly.B 7551.JPG,29.6,67.04,3.08
lab/train/Early_blight/fd6417ac-d076-4658-a4f8-6916d781c72a___RS_Erly.B 7360.JPG,29.73,71.1,4.49
lab/train/Late_blight/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B 4946.JPG,18.46,81.57,8.36
lab/train/Late_blight/01ebf21e-ef94-4c92-b007-0b26741c2fc8___GHLB2 Leaf 9075.JPG,23.34,84.82,13.67
lab/train/Late_blight/02790384-a589-421b-8695-693e77970418___GHLB2 Leaf 8920.JPG,20.83,91.69,13.94
lab/train/Late_blight/02a3e0cd-04da-4e08-b929-167bcb7f46f4___GHLB2 Leaf 8731.JPG,22.41,80.53,17.34
lab/train/Late_blight/03a0f11e-9d47-49c4-ba45-773b8aa9f2e1___GHLB2 Leaf 8767.JPG,20.83,82.97,12.21
lab/train/Late_blight/03ccfc6a-8142-4f46-8eb5-f7fc77978081___RS_Late.B 4916.JPG,21.32,89.53,19.3
lab/train/Late_blight/03f008be-5b97-4827-a2e2-88136b3c8714___RS_Late.B 6290.JPG,18.04,91.75,10.03
lab/train/Late_blight/0418161a-871a-4d36-b988-c95f89e0feaf___RS_Late.B 7063.JPG,21.17,83.59,15.13
lab/train/Late_blight/04540250-4926-47a6-9240-e047a04befc5___GHLB2 Leaf 9019.JPG,23.0,89.72,17.33
lab/train/Late_blight/049dbcab-de65-4f09-9b1b-e59886f56f2e___RS_Late.B 5141.JPG,18.04,89.97,8.93
lab/train/Late_blight/0566e4e3-675b-4289-9e36-ad199448975b___GHLB2 Leaf 161.2.JPG,23.28,80.74,11.41
lab/train/Late_blight/06f7c4e6-abd5-4399-9083-ed241a9c4bab___RS_Late.B 5407.JPG,22.26,84.36,10.18
lab/train/Late_blight/08593ca1-a595-44d1-8052-3d1430f305d3___GHLB2 Leaf 8579.JPG,19.15,80.39,15.23
lab/train/Late_blight/0b3c7107-cef9-455e-8fa0-30039b9fc206___RS_Late.B 5038.JPG,20.59,90.84,13.29
lab/train/Late_blight/0c73c79f-a384-4729-83c7-72c9b04da20c___GHLB2 Leaf 8927.JPG,23.48,84.65,9.62
lab/train/Late_blight/0d7b0e84-1c99-4699-84ed-ca86aec642e5___GHLB2 Leaf 8652.JPG,23.9,80.4,15.93
lab/train/Late_blight/0e244a32-08cd-471c-90dd-141c354c20b3___GHLB2 Leaf 8634.JPG,18.86,84.4,9.99
lab/train/Late_blight/0f8887d8-24b4-4f25-bc03-d47421ab47f7___RS_Late.B 4948.JPG,20.61,80.17,17.32
lab/train/Late_blight/1058d7d2-1b7d-40cc-ab26-95b2da23198b___RS_Late.B 4964.JPG,20.17,88.39,13.22
lab/train/Late_blight/11b2caf9-a56c-4d3e-bea4-a5d00affd161___RS_Late.B 6140.JPG,21.76,92.17,19.46
lab/train/Late_blight/121097dd-b0cb-436b-9b2f-7dab30c86872___GHLB_PS Leaf 37.1 Day 13.jpg,20.96,84.15,16.63
lab/train/Late_blight/12c80d02-59c6-4db4-a96e-b28c3fdaf3c2___GHLB_PS Leaf 1.2 Day 9.jpg,22.76,93.46,14.29
lab/train/Late_blight/1350ac99-ea6a-43a2-8ab5-178219b286ba___GHLB2 Leaf 8673.JPG,18.92,94.8,17.72
lab/train/Late_blight/13533985-e30d-4023-8bd3-7a45b07816ca___RS_Late.B 5593.JPG,21.14,86.73,15.53
lab/train/Late_blight/14113767-0c24-4607-97bc-04dccb35a23c___GHLB2 Leaf 8966.JPG,21.95,85.51,16.26
lab/train/Late_blight/14f55718-8942-41c1-9f1b-f5062aeb0ad8___GHLB2 Leaf 8905.JPG,22.53,82.96,11.85
lab/train/Late_blight/16257155-3d28-49cd-bb96-c188e946c4ec___RS_Late.B 4935.JPG,23.22,90.7,13.92
lab/train/Late_blight/16613329-813d-4d3d-9f44-e52c0ad72bb0___RS_Late.B 4980.JPG,18.12,90.73,18.33
lab/train/Late_blight/16a3a1a3-3e8b-4192-999d-2728df11549d___RS_Late.B 4983.JPG,23.02,92.08,11.07
lab/train/Late_blight/19369d60-553a-416b-9378-84f4a1d203d9___GHLB2 Leaf 9006.JPG,20.6,83.93,14.68
lab/train/Late_blight/1a473cad-42fc-48ca-963c-d438fbca928f___RS_Late.B 5418.JPG,18.07,88.3,17.2
lab/train/Late_blight/1af98b62-adaf-43d0-b4eb-83ab3f1ee084___RS_Late.B 4908.JPG,20.51,92.03,13.06
lab/train/Late_blight/1b2756ef-4fa0-410a-8fe5-a8b699d3553e___GHLB2 Leaf 156.2.JPG,22.76,87.92,12.21
lab/train/Late_blight/1c35f7ce-8e8e-4c20-b625-b01f9bf7d0cd___GHLB2 Leaf 111.JPG,20.67,84.7,11.89
lab/train/Late_blight/1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9.jpg,21.07,81.7,19.15
